"","sci_name","taxonid","kingdom","phylum","class","order","family","genus","main_common_name","authority","disp_dist_m"
"352","Samanea saman",144255307,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Samanea",NA,"(Jacq.) Merr.",1000
"353","Sapindus saponaria",156771087,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","SAPINDALES","SAPINDACEAE","Sapindus","Wingleaf Soapberry","L.",300
"354","Sapium glandulosum",37003,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","EUPHORBIACEAE","Sapium",NA,"(L.) Morong",1000
"355","Schizolobium parahyba",62027898,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Schizolobium",NA,"(Vell.) S.F.Blake",1000
"356","Schoenobiblus peruvianus",145700143,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","THYMELAEACEAE","Schoenobiblus",NA,"Standl.",300
"357","Securidaca diversifolia",150102457,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","POLYGALACEAE","Securidaca",NA,"(L.) S.F.Blake",1000
"358","Senegalia polyphylla",146777781,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Senegalia",NA,"(DC.) Britton &amp; Rose",1000
"359","Senegalia riparia",151963570,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Senegalia","Catch-and-Keep","(Kunth) Britton &amp; Rose ex Britton &amp; Killip",1000
"360","Senna alata",144263375,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Senna",NA,"(L.) Roxb.",1000
"361","Senna atomaria",130524697,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Senna",NA,"(L.) H.S.Irwin &amp; Barneby",1000
"362","Senna bacillaris",145696162,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Senna",NA,"(L.f.) H.S.Irwin &amp; Barneby",1000
"363","Senna bicapsularis",19892212,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Senna","Christmas Bush","(L.) Roxb.",1000
"364","Senna dariensis",62526,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Senna",NA,"(Britton &amp; Rose) Irwin &amp; Barneby",1000
"365","Senna fruticosa",144293020,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Senna",NA,"(Mill.) H.S.Irwin &amp; Barneby",1000
"366","Senna hayesiana",146777662,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Senna",NA,"(Britton &amp; Rose) H.S.Irwin &amp; Barneby",1000
"367","Senna macrophylla",151976013,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Senna",NA,"(Kunth) H.S.Irwin &amp; Barneby",1000
"368","Senna mutisiana",129134192,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Senna","Copo","(Kunth) H.S.Irwin &amp; Barneby",1000
"369","Senna obtusifolia",19375580,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Senna","Sicklepod","(L.) H.S.Irwin &amp; Barneby",1000
"370","Senna occidentalis",130525346,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Senna","Coffee Senna","(L.) Link",1000
"371","Senna reticulata",144286555,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Senna",NA,"(Willd.) H.S.Irwin &amp; Barneby",1000
"372","Senna siamea",62027907,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Senna","Pheasantwood","(Lam.) H.S.Irwin &amp; Barneby",1000
"373","Senna spectabilis",19892105,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Senna",NA,"(DC.) H.S.Irwin & Barneby",1000
"374","Simarouba amara",61966243,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","SAPINDALES","SIMAROUBACEAE","Simarouba",NA,"Aubl.",300
"375","Simira cordifolia",145693444,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE","Simira",NA,"(Hook.f.) Steyerm.",1000
"376","Simira rubescens",145667334,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE","Simira",NA,"(Benth.) Bremek. ex Steyerm.",1000
"377","Solanum aturense",146793207,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","SOLANALES","SOLANACEAE","Solanum",NA,"Dunal",300
"378","Solanum crotonifolium",169479276,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","SOLANALES","SOLANACEAE","Solanum","Frutillo","Humb. &amp; Bonpl. ex Dunal",300
"379","Solanum hazenii",146114755,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","SOLANALES","SOLANACEAE","Solanum",NA,"Britton",300
"380","Solanum hirtum",122101475,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","SOLANALES","SOLANACEAE","Solanum","Coyol de Gato","Vahl.",300
"381","Solanum jamaicense",150119210,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","SOLANALES","SOLANACEAE","Solanum",NA,"Mill.",300
"382","Solanum lepidotum",146777400,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","SOLANALES","SOLANACEAE","Solanum",NA,"Dunal",300
"383","Solanum pseudolulo",122101478,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","SOLANALES","SOLANACEAE","Solanum",NA,"Heiser",300
"384","Solanum stellatiglandulosum",146119174,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","SOLANALES","SOLANACEAE","Solanum",NA,"Bitter",300
"385","Solanum subinerme",146116112,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","SOLANALES","SOLANACEAE","Solanum",NA,"Jacq.",300
"386","Solanum umbellatum",220083953,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","SOLANALES","SOLANACEAE","Solanum",NA,"Mill.",300
"387","Steiractinia klattii",203440736,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ASTERALES","ASTERACEAE","Steiractinia","Navidad","S.F.Blake",1000
