"sp","ssp","habitat","big_habitat","connect","time_periods"
"Cebus.apella","ssp126",1,1,1,"2081-2100"
"Cebus.capucinus","ssp126",1,1,1,"1970-2000"
"Cebus.capucinus","ssp126",1,1,1,"2021-2040"
"Cebus.capucinus","ssp126",1,1,1,"2041-2060"
"Cebus.capucinus","ssp126",1,1,1,"2061-2080"
"Cebus.capucinus","ssp126",1,1,1,"2081-2100"
"Cebus.olivaceus","ssp126",1,0,0,NA
"Cebus.versicolor","ssp126",1,1,1,"1970-2000"
"Cebus.versicolor","ssp126",1,1,1,"2021-2040"
"Cebus.versicolor","ssp126",1,1,1,"2041-2060"
"Centurio.senex","ssp126",1,1,1,"1970-2000"
"Centurio.senex","ssp126",1,1,1,"2021-2040"
"Centurio.senex","ssp126",1,1,1,"2041-2060"
"Centurio.senex","ssp126",1,1,1,"2061-2080"
"Centurio.senex","ssp126",1,1,1,"2081-2100"
"Cerdocyon.thous","ssp126",1,1,1,"1970-2000"
"Cerdocyon.thous","ssp126",1,1,1,"2021-2040"
"Cerdocyon.thous","ssp126",1,1,1,"2041-2060"
"Cerdocyon.thous","ssp126",1,1,1,"2061-2080"
"Cerdocyon.thous","ssp126",1,1,1,"2081-2100"
"Cheracebus.lucifer","ssp126",1,1,1,"1970-2000"
"Cheracebus.lucifer","ssp126",1,1,1,"2021-2040"
"Cheracebus.lucifer","ssp126",1,1,1,"2041-2060"
"Cheracebus.lucifer","ssp126",1,1,1,"2061-2080"
"Cheracebus.lucifer","ssp126",1,1,1,"2081-2100"
"Cheracebus.lugens","ssp126",1,1,1,"1970-2000"
"Cheracebus.lugens","ssp126",1,1,1,"2021-2040"
"Cheracebus.lugens","ssp126",1,1,1,"2041-2060"
"Cheracebus.lugens","ssp126",1,1,1,"2061-2080"
"Cheracebus.lugens","ssp126",1,1,1,"2081-2100"
"Chiroderma.salvini","ssp126",1,1,1,"1970-2000"
"Chiroderma.salvini","ssp126",1,1,1,"2021-2040"
"Chiroderma.salvini","ssp126",1,1,1,"2041-2060"
"Chiroderma.salvini","ssp126",1,1,1,"2061-2080"
"Chiroderma.salvini","ssp126",1,1,1,"2081-2100"
"Chiroderma.trinitatum","ssp126",1,1,1,"1970-2000"
"Chiroderma.trinitatum","ssp126",1,1,1,"2021-2040"
"Chiroderma.trinitatum","ssp126",1,1,1,"2041-2060"
"Chiroderma.trinitatum","ssp126",1,1,1,"2061-2080"
"Chiroderma.trinitatum","ssp126",1,1,1,"2081-2100"
"Chiroderma.villosum","ssp126",1,1,1,"1970-2000"
"Chiroderma.villosum","ssp126",1,1,1,"2021-2040"
"Chiroderma.villosum","ssp126",1,1,1,"2041-2060"
"Chiroderma.villosum","ssp126",1,1,1,"2061-2080"
"Chiroderma.villosum","ssp126",1,1,1,"2081-2100"
"Chironectes.minimus","ssp126",1,1,1,"1970-2000"
"Chironectes.minimus","ssp126",1,1,1,"2021-2040"
"Chironectes.minimus","ssp126",1,1,1,"2041-2060"
"Chironectes.minimus","ssp126",1,1,1,"2061-2080"
"Chironectes.minimus","ssp126",1,1,1,"2081-2100"
"Choeroniscus.minor","ssp126",1,1,1,"1970-2000"
"Choeroniscus.minor","ssp126",1,1,1,"2021-2040"
"Choeroniscus.minor","ssp126",1,1,1,"2041-2060"
"Choeroniscus.minor","ssp126",1,1,1,"2061-2080"
"Choeroniscus.minor","ssp126",1,1,1,"2081-2100"
"Choeroniscus.periosus","ssp126",1,1,1,"1970-2000"
"Choeroniscus.periosus","ssp126",1,1,1,"2021-2040"
"Choeroniscus.periosus","ssp126",1,1,1,"2041-2060"
"Choeroniscus.periosus","ssp126",1,1,1,"2061-2080"
"Choeroniscus.periosus","ssp126",1,1,1,"2081-2100"
"Choloepus.didactylus","ssp126",1,1,1,"1970-2000"
"Choloepus.didactylus","ssp126",1,1,1,"2021-2040"
"Choloepus.didactylus","ssp126",1,1,1,"2041-2060"
"Choloepus.didactylus","ssp126",1,1,1,"2061-2080"
"Choloepus.didactylus","ssp126",1,1,1,"2081-2100"
"Choloepus.hoffmanni","ssp126",1,1,1,"1970-2000"
"Choloepus.hoffmanni","ssp126",1,1,1,"2021-2040"
"Choloepus.hoffmanni","ssp126",1,1,1,"2041-2060"
"Choloepus.hoffmanni","ssp126",1,1,1,"2061-2080"
"Choloepus.hoffmanni","ssp126",1,1,1,"2081-2100"
"Chrotopterus.auritus","ssp126",1,1,1,"1970-2000"
"Chrotopterus.auritus","ssp126",1,1,1,"2021-2040"
"Chrotopterus.auritus","ssp126",1,1,1,"2041-2060"
"Chrotopterus.auritus","ssp126",1,1,1,"2061-2080"
"Chrotopterus.auritus","ssp126",1,1,1,"2081-2100"
"Coendou.bicolor","ssp126",1,1,1,"1970-2000"
"Coendou.bicolor","ssp126",1,1,1,"2021-2040"
"Coendou.bicolor","ssp126",1,1,1,"2041-2060"
"Coendou.bicolor","ssp126",1,1,1,"2061-2080"
"Coendou.bicolor","ssp126",1,1,1,"2081-2100"
"Coendou.ichillus","ssp126",1,1,1,"1970-2000"
"Coendou.ichillus","ssp126",1,1,1,"2021-2040"
"Coendou.ichillus","ssp126",1,1,1,"2041-2060"
"Coendou.ichillus","ssp126",1,1,1,"2061-2080"
"Coendou.ichillus","ssp126",1,1,1,"2081-2100"
"Coendou.prehensilis","ssp126",1,1,1,"1970-2000"
"Coendou.prehensilis","ssp126",1,1,1,"2021-2040"
"Coendou.prehensilis","ssp126",1,1,1,"2041-2060"
"Coendou.prehensilis","ssp126",1,1,1,"2061-2080"
"Coendou.prehensilis","ssp126",1,1,1,"2081-2100"
"Coendou.pruinosus","ssp126",1,1,1,"1970-2000"
"Coendou.pruinosus","ssp126",1,1,1,"2021-2040"
