"species","ssp","aoi_area","cur_area","fut_area","IoU"
"Heteromys.anomalus","ssp585",717544.12356719,604102.269808948,402247.454570293,53.9777281883248
"Glossophaga.soricina","ssp585",5432126.78209522,4260983.09136081,2850540.42440832,66.7746957847028
"Myotis.oxyotus","ssp126",2463301.73322484,611646.317403316,546958.379698396,88.2135802221539
"Mazama.americana","ssp585",5232255.56865577,4211950.82340056,3249060.80842441,73.5944994753327
"Megaptera.novaeangliae","ssp126",1230777.65524334,101.5457508564,NA,NA
"Megaptera.novaeangliae","ssp585",1230777.65524334,101.5457508564,NA,NA
"Hylaeamys.yunganus","ssp126",1146839.74698496,950998.153938055,523474.200935841,48.3745240652197
"Hydrochoerus.hydrochaeris","ssp585",5439517.67587356,1862373.72422844,2330629.0804649,35.198020239738
"Myotis.oxyotus","ssp585",2463301.73322484,611646.317403316,550118.036702514,88.6948170213977
"Heteromys.australis","ssp126",724593.038692588,288009.34220463,219338.122921765,69.1259804631441
"Natalus.tumidirostris","ssp126",138943.116068573,140298.731260061,114527.382294774,79.2595723829954
"Hylaeamys.yunganus","ssp585",1146839.74698496,950998.153938055,613800.661069393,56.108059566756
"Natalus.tumidirostris","ssp585",138943.116068573,140298.731260061,115581.947802186,79.5683442066655
"Heteromys.australis","ssp585",724593.038692588,288009.34220463,237116.296241462,75.0980242932238
"Micronycteris.hirsuta","ssp126",1815351.42576186,1053573.15782934,864542.82078886,78.4449633515163
"Leopardus.wiedii","ssp126",5240633.23533846,3794322.40026522,2813120.74893314,71.9634531479236
"Micronycteris.hirsuta","ssp585",1815351.42576186,1053573.15782934,856229.224442661,76.9095264463345
"Lagothrix.lagothricha","ssp126",2586070.73934189,2008150.16516775,1871366.63986653,79.2608555297223
"Microsciurus.santanderensis","ssp126",192372.550557952,163204.246042967,105475.534399807,48.9121546750729
"Lasiurus.blossevillii","ssp126",3047015.39062282,2199434.16185915,1731151.98303908,74.1114516073162
"Noctilio.leporinus","ssp126",3970215.8542233,1920673.11920148,1562087.98905259,77.1469612958982
"Microsciurus.santanderensis","ssp585",192372.550557952,163204.246042967,106435.959329844,48.3147901766266
"Lagothrix.lagothricha","ssp585",2586070.73934189,2008150.16516775,1832341.12918347,75.9380425823848
"Inia.geoffrensis","ssp126",6376180.90159084,1652408.00123429,1969860.01705569,42.3502712771432
"Noctilio.leporinus","ssp585",3970215.8542233,1920673.11920148,1611898.82852101,76.7079175855635
"Lasiurus.blossevillii","ssp585",3047015.39062282,2199434.16185915,1724825.3012445,72.2473169418876
"Mormoops.megalophylla","ssp126",1595881.58098359,230057.290429235,175892.158506691,74.764168155343
"Mormoops.megalophylla","ssp585",1595881.58098359,230057.290429235,196147.053091168,81.7753011555303
"Leopardus.wiedii","ssp585",5240633.23533846,3794322.40026522,2866650.11121446,73.1132425073208
"Leptonycteris.curasoae","ssp126",371818.812534047,221616.429207504,156132.918569267,58.5266900416442
"Olallamys.albicauda","ssp126",846534.487005514,591911.162480474,479975.653851032,71.8126931572532
"Inia.geoffrensis","ssp585",6376180.90159084,1652408.00123429,1908006.25938773,39.7678467281628
"Leptonycteris.curasoae","ssp585",371818.812534047,221616.429207504,148948.009035349,54.5684985976708
"Olallamys.albicauda","ssp585",846534.487005514,591911.162480474,489970.260378957,73.1864182384942
"Leontocebus.fuscus","ssp126",1660170.0761302,933714.208667219,655096.974279106,64.8127886355614
"Ozotoceros.bezoarticus","ssp126",3388898.36802148,993932.279070079,217557.128798306,1.81141793638056
"Lophostoma.brasiliense","ssp126",1794068.96783017,887295.091154814,617678.476743996,66.9321836415707
"Leontocebus.fuscus","ssp585",1660170.0761302,933714.208667219,674815.895279229,66.4278491047771
"Ozotoceros.bezoarticus","ssp585",3388898.36802148,993932.279070079,657429.641461134,12.2252739854091
"Leopardus.pardalis","ssp126",5751961.48752784,3355604.61765575,2972369.63900644,83.6832256143774
"Lophostoma.brasiliense","ssp585",1794068.96783017,887295.091154814,561204.810160875,60.61959460733
"Philander.melanurus","ssp126",1049830.75860315,16543.4727152586,9656.45916616917,48.8157039345802
"Philander.melanurus","ssp585",1049830.75860315,16543.4727152586,10192.217731297,49.6908450990379
"Lontra.longicaudis","ssp126",4361106.32224979,3269721.49798077,2402013.16939163,67.1868259046764
"Pithecia.hirsuta","ssp126",1125845.17661534,56913.8610866666,25856.9105501771,26.0472252427965
"Myotis.albescens","ssp126",3865609.93239259,4306511.84045297,3609965.23019981,83.0780539055336
"Marmosa.robinsoni","ssp126",1430388.65740521,438480.848729432,371857.661294341,76.1952618360393
"Pithecia.hirsuta","ssp585",1125845.17661534,56913.8610866666,27344.7349283695,26.1315108409853
"Leopardus.pardalis","ssp585",5751961.48752784,3355604.61765575,2990415.71974427,81.7849027624552
"Lionycteris.spurrelli","ssp126",3916401.21408046,1843817.94211233,1149956.13742083,61.1942488172268
"Marmosa.robinsoni","ssp585",1430388.65740521,438480.848729432,363573.877527416,72.6785621878479
"Lontra.longicaudis","ssp585",4361106.32224979,3269721.49798077,2366083.68022686,67.8723108033959
"Lionycteris.spurrelli","ssp585",3916401.21408046,1843817.94211233,1177532.7685895,62.5619963169064
"Platyrrhinus.infuscus","ssp126",1818127.35082872,1005688.6938107,564574.068770051,54.2957894977286
"Myotis.albescens","ssp585",3865609.93239259,4306511.84045297,3558436.41564804,81.8801560782081
"Lycalopex.culpaeus","ssp126",165884.269810647,15503.3177447319,10050.7453568578,13.9290016608939
"Lycalopex.culpaeus","ssp585",165884.269810647,15503.3177447319,16432.5440019965,39.1645063866906
"Platyrrhinus.infuscus","ssp585",1818127.35082872,1005688.6938107,566435.365443408,54.5182648711204
"Mazama.rufina","ssp126",2463807.58553155,759793.339117467,501085.08837831,55.2320462447738
"Marmosa.phaea","ssp126",1883972.22744079,1062975.93966836,503505.351678431,45.1808274247287
"Marmosa.phaea","ssp585",1883972.22744079,1062975.93966836,488217.808581114,43.9119750740227
"Mazama.rufina","ssp585",2463807.58553155,759793.339117467,499497.66089648,54.4828135085435
"Lonchophylla.robusta","ssp126",3020887.91347734,998823.490167379,997922.559206307,96.9026511263359
"Marmosops.caucae","ssp126",2064175.72723376,1918430.78808713,1487477.64331675,69.5505093647222
"Marmosops.caucae","ssp585",2064175.72723376,1918430.78808713,1514788.69077408,70.7740941845903
"Mesomys.hispidus","ssp126",1575323.13837896,1441761.08260304,537977.573087335,30.8341178664297
"Mazama.sanctaemartae","ssp126",301638.571854079,146606.555574656,71560.1972382665,43.4774058941986
"Mazama.sanctaemartae","ssp585",301638.571854079,146606.555574656,65300.1674610376,38.6100444936238
"Lonchophylla.robusta","ssp585",3020887.91347734,998823.490167379,994502.053064406,96.5867845719757
"Mesomys.hispidus","ssp585",1575323.13837896,1441761.08260304,944701.116904795,52.8274406359299
"Myrmecophaga.tridactyla","ssp126",5209911.31149785,2609325.78016418,3658916.59089774,59.4256842855006
"Marmosa.isthmica","ssp126",363938.186427929,158432.402524948,106479.138441563,46.6587647350247
"Mazama.gouazoubira","ssp126",5331011.94451353,4120886.65796095,3871846.74945217,83.3413134063885
"Potos.flavus","ssp126",5845662.92425947,3489800.43639922,1953065.18346524,54.7422334625832
"Marmosa.isthmica","ssp585",363938.186427929,158432.402524948,112009.252287567,47.2918800894626
"Micronycteris.microtis","ssp126",2822855.54257619,1290367.92216533,806166.42887646,55.9788237416873
"Mazama.gouazoubira","ssp585",5331011.94451353,4120886.65796095,3993859.56672418,83.1138580176482
"Myrmecophaga.tridactyla","ssp585",5209911.31149785,2609325.78016418,3870814.28588694,54.2293491650772
"Mesophylla.macconnelli","ssp126",4970303.66225784,2959931.05464327,1971188.64717913,65.326414421472
"Micronycteris.microtis","ssp585",2822855.54257619,1290367.92216533,857752.626045287,56.5336706143427
"Neogale.felipei","ssp126",206867.640350736,208238.222858071,184487.017070889,71.2718513970767
"Marmosops.noctivagus","ssp126",2147733.68365896,1303963.50249386,565519.155265331,40.0583106712405
"Potos.flavus","ssp585",5845662.92425947,3489800.43639922,1775829.43585175,49.6601300780799
"Molossus.bondae","ssp126",121255.697014232,28101.8351893425,11316.6315512657,37.2706653036446
"Melanomys.caliginosus","ssp126",880985.216518116,864692.348191559,648826.404082119,70.0419114723635
"Neogale.felipei","ssp585",206867.640350736,208238.222858071,166554.668021023,64.5005994572412
"Molossus.bondae","ssp585",121255.697014232,28101.8351893425,9011.08522540331,29.2461819054443
"Proechimys.oconnelli","ssp126",736983.634271291,396547.951530278,158783.265680969,37.3709607660425
"Melanomys.caliginosus","ssp585",880985.216518116,864692.348191559,684567.072654843,74.2150143870568
"Marmosops.noctivagus","ssp585",2147733.68365896,1303963.50249386,706886.42091012,50.7163310936895
"Proechimys.oconnelli","ssp585",736983.634271291,396547.951530278,127639.455417216,28.1983323377701
"Mustela.felipei","ssp126",206867.640350736,119630.184489489,131451.056005299,77.9326930097359
"Odocoileus.goudotii","ssp126",1073120.10781559,632093.159538686,371610.197716951,56.0424549554196
"Mustela.felipei","ssp585",206867.640350736,119630.184489489,128544.890648007,77.2114582390733
"Mesophylla.macconnelli","ssp585",4970303.66225784,2959931.05464327,1908274.79041153,61.3757310274463
"Odocoileus.goudotii","ssp585",1073120.10781559,632093.159538686,385255.753480434,58.2187909642501
"Mazama.zetta","ssp126",434080.149239269,221838.15423429,161276.021787286,58.9796973807347
"Mazama.zetta","ssp585",434080.149239269,221838.15423429,167507.251073718,61.4800923023225
"Pteronotus.gymnonotus","ssp126",3468593.65617463,3488653.16196626,2918108.07806295,81.1363496766173
"Oligoryzomys.destructor","ssp126",1144960.71441374,1024203.65969402,539886.475791752,47.2856805947332
"Micronycteris.minuta","ssp126",4010076.42655052,2662780.06067622,2186596.81379026,81.1552685855046
"Nasua.nasua","ssp126",2774935.79522802,770689.898449302,822230.245810151,71.2228152904661
"Oligoryzomys.destructor","ssp585",1144960.71441374,1024203.65969402,635473.736341357,56.0217959602619
"Micronycteris.minuta","ssp585",4010076.42655052,2662780.06067622,2145473.9563536,79.5132970409866
"Pteronotus.gymnonotus","ssp585",3468593.65617463,3488653.16196626,3071552.09916151,83.6999220800277
"Nasua.nasua","ssp585",2774935.79522802,770689.898449302,807268.557006478,67.954762910771
"Micronycteris.megalotis","ssp126",5148750.32652451,4121524.27325863,3625619.28335994,85.1705262660313
"Nephelomys.childi","ssp126",546016.648401541,165046.975866079,169732.940736175,86.0823735202096
"Phylloderma.stenops","ssp126",4161458.63080144,4127299.51559043,3776599.07244402,89.448676407432
"Nephelomys.childi","ssp585",546016.648401541,165046.975866079,165781.611091912,81.6919340662288
"Metachirus.nudicaudatus","ssp126",3075058.2025309,3012909.42289466,2806139.1993854,79.7562336421378
